ProductID,Name,Description,Price,StockQuantity,CategoryID,SupplierID,CreatedAt
101,Smartphone,"6.5"" display, 128GB storage",699.99,50,1,201,2024-12-01 10:15:30
102,Running Shoes,Lightweight and breathable,89.99,200,2,202,2024-11-20 09:45:12
103,Blender,"5-speed, stainless steel blades",59.99,150,3,203,2024-10-18 14:30:50
104,Mystery Novel,Best-selling thriller book,14.99,300,4,204,2024-09-05 08:20:00
105,Face Moisturizer,Hydrating cream for all skin,24.99,100,5,205,2024-08-22 16:10:40
106,Yoga Mat,"Non-slip, eco-friendly material",29.99,120,6,206,2024-07-15 12:00:00
107,Board Game,Fun strategy game for families,39.99,80,7,207,2024-06-10 18:45:30
108,Car Air Freshener,Long-lasting fresh scent,9.99,500,8,208,2024-05-25 10:05:20
109,Multivitamin,Daily essential nutrients,19.99,250,9,209,2024-04-14 14:50:15
110,Organic Coffee,"100% Arabica, freshly roasted",12.99,400,10,210,2024-03-08 09:30:45
