OrderID,SalesRepID,AllocationPercentage
O001,S006,100.0
O002,S002,50.39
O002,S004,49.61
O003,S009,31.65
O003,S008,44.3
O003,S004,24.05
O004,S010,33.73
O004,S005,25.44
O004,S008,40.83
O005,S008,32.54
O005,S005,35.5
O005,S002,31.95
O006,S007,100.0
O007,S003,40.8
O007,S002,35.2
O007,S008,24.0
O008,S005,30.34
O008,S003,69.66
O009,S001,47.37
O009,S003,52.63
O010,S004,33.09
O010,S006,48.92
O010,S003,17.99
O011,S009,48.28
O011,S006,51.72
O012,S004,36.84
O012,S008,63.16
O013,S006,43.33
O013,S008,56.67
O014,S005,19.74
O014,S009,36.84
O014,S007,43.42
O015,S008,61.62
O015,S010,38.38
O016,S009,100.0
O017,S002,100.0
O018,S004,38.75
O018,S003,61.25
O019,S007,50.86
O019,S008,49.14
O020,S002,53.41
O020,S005,46.59
O021,S006,67.57
O021,S004,32.43
O022,S008,63.83
O022,S007,22.34
O022,S004,13.83
O023,S001,52.63
O023,S004,29.47
O023,S006,17.89
O024,S008,44.21
O024,S002,45.26
O024,S001,10.53
O025,S008,100.0
O026,S001,30.48
O026,S003,39.05
O026,S006,30.48
O027,S009,100.0
O028,S009,32.05
O028,S001,67.95
O029,S005,36.36
O029,S009,47.11
O029,S001,16.53
O030,S001,100.0
O031,S009,57.53
O031,S007,42.47
O032,S008,64.29
O032,S007,35.71
O033,S008,67.5
O033,S005,32.5
O034,S005,40.16
O034,S003,34.65
O034,S008,25.2
O035,S006,55.68
O035,S002,44.32
O036,S010,12.87
O036,S008,49.5
O036,S009,37.62
O037,S005,42.04
O037,S007,14.65
O037,S004,43.31
O038,S004,26.17
O038,S006,48.6
O038,S002,25.23
O039,S003,26.15
O039,S001,46.15
O039,S004,27.69
O040,S004,16.0
O040,S006,28.0
O040,S008,56.0
O041,S001,28.46
O041,S008,49.23
O041,S009,22.31
O042,S006,11.72
O042,S004,50.78
O042,S008,37.5
O043,S008,100.0
O044,S008,10.2
O044,S006,19.39
O044,S007,70.41
O045,S005,75.0
O045,S008,25.0
O046,S009,58.33
O046,S010,41.67
O047,S005,16.52
O047,S007,50.43
O047,S002,33.04
O048,S010,100.0
O049,S009,100.0
O050,S010,100.0
O051,S006,14.42
O051,S010,60.58
O051,S003,25.0
O052,S009,54.9
O052,S006,45.1
O053,S010,100.0
O054,S007,13.33
O054,S003,86.67
O055,S010,50.0
O055,S007,50.0
O056,S005,16.28
O056,S004,34.88
O056,S008,48.84
O057,S001,100.0
O058,S009,32.69
O058,S007,67.31
O059,S010,22.22
O059,S004,42.59
O059,S009,35.19
O060,S004,24.42
O060,S003,29.07
O060,S007,46.51
O061,S010,100.0
O062,S007,100.0
O063,S009,39.73
O063,S006,60.27
O064,S004,20.98
O064,S007,31.47
O064,S003,47.55
O065,S010,100.0
O066,S007,50.76
O066,S008,30.3
O066,S003,18.94
O067,S010,100.0
O068,S001,52.27
O068,S007,47.73
O069,S002,100.0
O070,S009,100.0
O071,S007,35.19
O071,S004,50.93
O071,S003,13.89
O072,S001,15.89
O072,S008,47.66
O072,S005,36.45
O073,S005,33.33
O073,S006,35.42
O073,S002,31.25
O074,S002,13.18
O074,S003,34.88
O074,S007,51.94
O075,S003,100.0
O076,S008,100.0
O077,S005,38.33
O077,S009,61.67
O078,S005,100.0
O079,S008,100.0
O080,S004,100.0
O081,S001,14.29
O081,S008,62.34
O081,S007,23.38
O082,S001,27.01
O082,S006,30.66
O082,S007,42.34
O083,S003,20.83
O083,S004,55.0
O083,S008,24.17
O084,S007,100.0
O085,S002,100.0
O086,S009,27.52
O086,S005,57.8
O086,S007,14.68
O087,S010,25.0
O087,S007,34.09
O087,S005,40.91
O088,S001,49.59
O088,S005,50.41
O089,S008,100.0
O090,S008,20.27
O090,S002,25.68
O090,S003,54.05
O091,S006,36.61
O091,S007,39.29
O091,S009,24.11
O092,S007,35.82
O092,S010,37.31
O092,S004,26.87
O093,S003,25.0
O093,S010,59.62
O093,S006,15.38
O094,S008,10.14
O094,S002,47.1
O094,S001,42.75
O095,S002,53.91
O095,S004,46.09
O096,S007,40.54
O096,S003,21.62
O096,S008,37.84
O097,S010,14.18
O097,S005,39.72
O097,S006,46.1
O098,S004,47.5
O098,S008,52.5
O099,S003,22.31
O099,S008,37.19
O099,S010,40.5
O100,S010,100.0
